env,cost_limit,source,target_steps,score_mean,score_std,score_count,cost_mean,cost_std,cost_count,laglr
Safety2x3HalfCheetahVelocity-v0,25.0,SafeDreamer (lr=1e-5),700000,2587.8,181.4,3,22.3,22.2,3,1e-05
Safety2x3HalfCheetahVelocity-v0,25.0,SafeDreamer (lr=1e-5),800000,2545.2,212.5,3,37.6,9.4,3,1e-05
Safety2x3HalfCheetahVelocity-v0,25.0,SafeDreamer (lr=1e-5),900000,2528.5,162.9,3,3.9,3.7,3,1e-05
Safety2x4AntVelocity-v0,0.2,SafeDreamer (lr=1e-5),700000,1566.0,857.2,3,18.0,11.8,3,1e-05
Safety2x4AntVelocity-v0,0.2,SafeDreamer (lr=1e-5),800000,1626.6,158.9,3,43.5,8.2,3,1e-05
Safety2x4AntVelocity-v0,0.2,SafeDreamer (lr=1e-5),900000,1902.4,359.2,3,43.9,29.7,3,1e-05
Safety2x4AntVelocity-v0,25.0,SafeDreamer (lr=1e-5),700000,1613.5,553.1,3,53.1,47.1,3,1e-05
Safety2x4AntVelocity-v0,25.0,SafeDreamer (lr=1e-5),800000,1794.4,672.1,3,82.9,72.0,3,1e-05
Safety2x4AntVelocity-v0,25.0,SafeDreamer (lr=1e-5),900000,1838.3,583.0,3,32.7,33.7,3,1e-05
Safety4x2AntVelocity-v0,1.0,SafeDreamer (lr=1e-5),700000,886.0,110.8,3,0.0,0.0,3,1e-05
Safety4x2AntVelocity-v0,1.0,SafeDreamer (lr=1e-5),800000,1134.0,170.2,3,0.1,0.1,3,1e-05
Safety4x2AntVelocity-v0,1.0,SafeDreamer (lr=1e-5),900000,1140.6,33.1,3,0.5,0.8,3,1e-05
Safety4x2AntVelocity-v0,25.0,SafeDreamer (lr=1e-5),700000,1192.7,86.6,3,0.0,0.0,3,1e-05
Safety4x2AntVelocity-v0,25.0,SafeDreamer (lr=1e-5),800000,1265.9,101.8,3,0.0,0.0,3,1e-05
Safety4x2AntVelocity-v0,25.0,SafeDreamer (lr=1e-5),900000,1406.8,172.4,3,0.0,0.0,3,1e-05
Safety2x3HalfCheetahVelocity-v0,25.0,MACPO Run,10000000,1374.3,85.7,2,22.0,4.2,2,1e-05
Safety2x4AntVelocity-v0,0.2,MACPO Paper ~,10000000,900.0,,0,15.0,,0,1e-05
