map,cost_limit,seed,wandb_run_id,score,cost,winrate,wandb_link,algorithm
2s_vs_1sc,0,1,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2s_vs_1sc_s1_date04-29-hr12-07-08_17261626_feat-lag-real-episode-cost,19.772,0.276,0.943,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2s_vs_1sc_s1_date04-29-hr12-07-08_17261626_feat-lag-real-episode-cost,SafeDreamers
2s_vs_1sc,0,2,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2s_vs_1sc_s2_date04-29-hr12-07-10_17261627_feat-lag-real-episode-cost,20.188,0.1,0.992,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2s_vs_1sc_s2_date04-29-hr12-07-10_17261627_feat-lag-real-episode-cost,SafeDreamers
2s_vs_1sc,0,3,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2s_vs_1sc_s3_date04-29-hr12-07-10_17261628_feat-lag-real-episode-cost,19.896,0.314,0.952,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2s_vs_1sc_s3_date04-29-hr12-07-10_17261628_feat-lag-real-episode-cost,SafeDreamers
2s_vs_1sc,1,1,,,,,,SafeDreamers
2s_vs_1sc,1,2,,,,,,SafeDreamers
2s_vs_1sc,1,3,,,,,,SafeDreamers
3m,0,1,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_3m_s1_date04-29-hr12-07-14_17261629_feat-lag-real-episode-cost,19.191,0.457,0.937,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_3m_s1_date04-29-hr12-07-14_17261629_feat-lag-real-episode-cost,SafeDreamers
3m,0,2,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_3m_s2_date04-29-hr12-07-15_17261630_feat-lag-real-episode-cost,19.859,0.326,0.989,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_3m_s2_date04-29-hr12-07-15_17261630_feat-lag-real-episode-cost,SafeDreamers
3m,0,3,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_3m_s3_date04-29-hr12-07-15_17261631_feat-lag-real-episode-cost,18.989,0.474,0.916,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_3m_s3_date04-29-hr12-07-15_17261631_feat-lag-real-episode-cost,SafeDreamers
3m,1,1,,,,,,SafeDreamers
3m,1,2,,,,,,SafeDreamers
3m,1,3,,,,,,SafeDreamers
3s5z_vs_3s6z,0,1,safedreamer_dai_starcraft_lag1e-05_0.0_3s5z_vs_3s6z_s1_date04-30-hr09-11-20_17273492_feat-lag-real-episod,8.926,8.0,0.0,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dai_starcraft_lag1e-05_0.0_3s5z_vs_3s6z_s1_date04-30-hr09-11-20_17273492_feat-lag-real-episod,SafeDreamers
